,importance
manufacturer_type_acura_sedan,0.0
manufacturer_type_acura_van,0.0
manufacturer_type_buick_other,0.0
manufacturer_type_buick_mini-van,0.0
manufacturer_type_buick_wagon,0.0
manufacturer_type_buick_hatchback,0.0
manufacturer_type_buick_coupe,0.0
manufacturer_type_cadillac_SUV,0.0
manufacturer_type_cadillac_convertible,0.0
manufacturer_type_bmw_wagon,0.0
manufacturer_type_bmw_truck,0.0
manufacturer_type_bmw_hatchback,0.0
type_size_sedan_1,0.0
manufacturer_type_bmw_convertible,0.0
manufacturer_type_cadillac_coupe,0.0
manufacturer_type_audi_wagon,0.0
manufacturer_type_cadillac_pickup,0.0
manufacturer_type_audi_hatchback,0.0
manufacturer_type_cadillac_sedan,0.0
manufacturer_type_audi_coupe,0.0
manufacturer_type_cadillac_truck,0.0
manufacturer_type_buick_van,0.0
manufacturer_type_audi_SUV,0.0
manufacturer_type_aston-martin_convertible,0.0
manufacturer_type_alfa-romeo_sedan,0.0
manufacturer_type_alfa-romeo_SUV,0.0
manufacturer_type_acura_wagon,0.0
manufacturer_type_bmw_coupe,0.0
type_size_SUV_1,0.0
type_size_pickup_2,0.0
state_mi,0.0
paint_color_yellow,0.0
state_ak,0.0
state_al,0.0
state_ar,0.0
state_co,0.0
state_ct,0.0
state_de,0.0
state_hi,0.0
state_id,0.0
state_in,0.0
state_ka,0.0
state_ky,0.0
state_la,0.0
state_ma,0.0
state_md,0.0
region_akron / canton,0.0
paint_color_purple,0.0
paint_color_orange,0.0
type_offroad,0.0
region_ashtabula,0.0
region_asheville,0.0
region_appleton-oshkosh-fdl,0.0
region_annapolis,0.0
type_bus,0.0
region_ann arbor,0.0
type_other,0.0
region_albuquerque,0.0
region_anchorage / mat-su,0.0
region_ames,0.0
type_wagon,0.0
region_amarillo,0.0
region_altoona-johnstown,0.0
paint_color_custom,0.0
state_me,0.0
state_mo,0.0
type_size_other_4,0.0
state_ms,0.0
type_size_bus_4,0.0
type_size_convertible_1,0.0
type_size_convertible_2,0.0
type_size_convertible_3,0.0
type_size_convertible_4,0.0
type_size_coupe_1,0.0
type_size_hatchback_1,0.0
type_size_hatchback_4,0.0
type_size_mini-van_2,0.0
type_size_mini-van_3,0.0
type_size_offroad_2,0.0
type_size_offroad_3,0.0
type_size_offroad_4,0.0
type_size_other_2,0.0
type_size_other_3,0.0
type_size_bus_3,0.0
type_size_bus_2,0.0
type_size_SUV_2,0.0
yearpersize,0.0
state_mt,0.0
state_nc,0.0
state_nd,0.0
state_ne,0.0
state_nh,0.0
region_abilene,0.0
state_ri,0.0
manufacturer_type_chevrolet_mini-van,0.0
state_sc,0.0
state_sd,0.0
state_ut,0.0
state_vt,0.0
state_wv,0.0
state_wy,0.0
manufacturer_type_chevrolet_hatchback,0.0
region_bemidji,0.0
manufacturer_type_chevrolet_offroad,0.0
manufacturer_type_nissan_convertible,0.0
manufacturer_type_mini_sedan,0.0
manufacturer_type_mini_wagon,0.0
manufacturer_type_mitsubishi_SUV,0.0
manufacturer_type_mitsubishi_convertible,0.0
manufacturer_type_mitsubishi_coupe,0.0
manufacturer_type_mitsubishi_hatchback,0.0
manufacturer_type_mitsubishi_sedan,0.0
manufacturer_type_mitsubishi_truck,0.0
manufacturer_type_nissan_SUV,0.0
manufacturer_type_nissan_coupe,0.0
manufacturer_type_pontiac_mini-van,0.0
manufacturer_type_nissan_hatchback,0.0
manufacturer_type_nissan_mini-van,0.0
manufacturer_type_nissan_pickup,0.0
manufacturer_type_nissan_truck,0.0
manufacturer_type_nissan_van,0.0
manufacturer_type_nissan_wagon,0.0
manufacturer_type_pontiac_SUV,0.0
manufacturer_type_pontiac_convertible,0.0
manufacturer_type_pontiac_coupe,0.0
manufacturer_type_mini_hatchback,0.0
manufacturer_type_mini_coupe,0.0
manufacturer_type_mercury_wagon,0.0
manufacturer_type_mercury_van,0.0
manufacturer_type_mazda_mini-van,0.0
manufacturer_type_mazda_other,0.0
manufacturer_type_mazda_truck,0.0
manufacturer_type_mazda_wagon,0.0
manufacturer_type_mercedes-benz_SUV,0.0
manufacturer_type_mercedes-benz_convertible,0.0
manufacturer_type_mercedes-benz_coupe,0.0
manufacturer_type_mercedes-benz_mini-van,0.0
manufacturer_type_mercedes-benz_sedan,0.0
manufacturer_type_mercedes-benz_truck,0.0
manufacturer_type_mercedes-benz_van,0.0
manufacturer_type_mercury_SUV,0.0
manufacturer_type_mercury_convertible,0.0
manufacturer_type_mercury_coupe,0.0
manufacturer_type_mercury_hatchback,0.0
