,importance
state_tn,3.461594919018651e-05
cylinders,0.0004144924175818465
manufacturer_type_ford_sedan,7.527015634778422e-06
region_albany,8.276020638653403e-05
state_wa,4.443891812311307e-06
state_oh,3.5984850237369415e-06
manufacturer_type_chevrolet_sedan,9.10149107942182e-05
manufacturer_type_subaru_SUV,1.1071640704907182e-05
paint_color_grey,0.00018860002169290846
type_size_coupe_2,1.7147077069235017e-05
odometerperfuel,0.0010204006557340156
state_az,9.132456052718396e-06
manufacturer_nissan,2.487115249438787e-05
manufacturer_type_nissan_sedan,5.019943150275097e-06
is_fwd,0.0011288469544856738
drive_4wd,0.0009365343646671742
manufacturer_chevrolet,0.0002657842788151843
manufacturer_dodge,2.430900242700318e-05
manufacturer_type_buick_sedan,5.568424879420775e-06
type_size_sedan_3,6.574968911809975e-05
manufacturer_ford,3.263259733143897e-05
transmission_other,6.304133379952948e-05
type_size_hatchback_2,3.4509921333192306e-05
state_ok,2.961319707361909e-05
manufacturer_type_volkswagen_sedan,2.386737318893495e-06
yearperfuel,0.0013099356213010509
"region_washington, dc",8.828952279738012e-05
region_boise,4.040222065926358e-05
manufacturer_mercury,2.473698974569949e-05
manufacturer_type_chevrolet_pickup,0.00012817389309494054
type_size_van_4,2.7931950442594555e-05
state_pa,8.185540582916762e-05
state_va,3.084887639559497e-06
type_van,0.00010538524788722414
manufacturer_type_chevrolet_coupe,2.20465418898641e-06
paint_color_white,0.00023795927240854997
type_size_sedan_4,1.8163601148035724e-05
year,0.001182060743320855
fuel_diesel,0.00046652715626871455
manufacturer_mazda,1.148869991096646e-05
region_los angeles,2.7530307959433564e-05
car-age-inverse,0.0006838319158637045
condition_salvage,4.483993511605888e-06
manufacturer_volkswagen,1.4558605998082896e-05
manufacturer_type_ford_coupe,7.715826305876305e-06
paint_color_black,0.00017942293096206985
manufacturer_type_mazda_sedan,3.655788653311731e-05
manufacturer_honda,6.79487526249467e-05
is_excellent,0.0006371230134580297
state_nm,4.715784971898174e-05
manufacturer_type_kia_sedan,1.8992743925583255e-05
type_size_truck_4,8.451040061974169e-05
state_ia,3.783522792000227e-05
type_convertible,0.00013280665519088686
region_tucson,2.3637709231305593e-05
condition_excellent,0.0003530678761132222
transmission_automatic,2.24793180025884e-05
is_silver,0.00021371266987935122
fuel_gas,0.00010285271478882585
odometerpercar-age,0.0012565068825814724
condition_like new,2.9090829333888735e-05
type_size_pickup_3,1.4349541463065663e-05
state_tx,4.63292108587865e-06
manufacturer_audi,8.292909938778514e-05
title_status_salvage,3.570116546547375e-05
odometerpermanufacturer,0.0010140830369394973
manufacturer_type_toyota_sedan,1.2082828767523424e-05
state_mn,5.9350692870330235e-05
region_richmond,4.021573847134974e-05
manufacturer_type_ford_van,2.5618456235942944e-05
manufacturer_type_ram_truck,8.026744609357372e-05
region_north jersey,4.959016817918105e-05
manufacturer_toyota,1.2857299615864903e-05
state_nv,4.468656122025294e-06
type_truck,0.0001468053419826365
manufacturer_type_ford_truck,1.872743673136945e-05
truck_diesel,9.510390662192947e-05
region_pittsburgh,2.8125132868872527e-05
odometerpertype,0.0036539390378372617
region_new york city,1.299963428458284e-06
state_nj,9.584006696644609e-05
manufacturer_type_chevrolet_SUV,8.981290616214e-05
paint_color_silver,0.0001278798302346562
type_size_coupe_4,5.478897521449255e-06
title_status_rebuilt,0.00020739337024866522
state_il,0.00012108883009009919
paint_color_blue,0.0002033543129181803
is_automatic,1.4273756493654588e-05
is_gas,5.7782069801559643e-05
