,importance
state_tn,5.461437000420233e-07
cylinders,0.00047631543749140524
manufacturer_type_ford_sedan,6.176988480044443e-06
region_albany,1.835571181751927e-05
state_wa,9.350454811540843e-06
state_oh,1.6399884685918548e-05
manufacturer_type_chevrolet_sedan,8.907942636013355e-06
manufacturer_type_subaru_SUV,4.997067823475643e-06
paint_color_grey,0.00021357671457272742
type_size_coupe_2,7.736766570363984e-06
odometerperfuel,0.0017407452261695474
state_az,1.733514987033546e-05
manufacturer_nissan,1.6551580107687647e-05
manufacturer_type_nissan_sedan,5.417192636081314e-06
is_fwd,0.001212680971905346
drive_4wd,0.0008211774148126384
manufacturer_chevrolet,0.0002690066355833791
manufacturer_dodge,2.109909751245309e-05
manufacturer_type_buick_sedan,1.526240025362391e-06
type_size_sedan_3,0.000217930049352092
manufacturer_ford,1.6048350759800822e-05
transmission_other,2.6679874707105297e-05
type_size_hatchback_2,1.7083143540611023e-05
state_ok,7.358108331467772e-06
manufacturer_type_volkswagen_sedan,5.858839955852346e-06
yearperfuel,0.001556888415689321
"region_washington, dc",4.561001897152722e-05
region_boise,7.505906968741094e-06
manufacturer_mercury,2.270253465663785e-05
manufacturer_type_chevrolet_pickup,4.56055214335116e-05
type_size_van_4,2.1502909080151067e-05
state_pa,9.141902049335238e-05
state_va,1.4772998906398271e-06
type_van,8.742623153984441e-05
manufacturer_type_chevrolet_coupe,3.1408866422721893e-06
paint_color_white,0.00030288662539989695
type_size_sedan_4,5.165475503288164e-05
year,0.0013853139685684947
fuel_diesel,0.00034973785091770026
manufacturer_mazda,5.721746726528032e-06
region_los angeles,1.5937123403891862e-05
car-age-inverse,0.0008010483996799753
condition_salvage,1.4133547540484681e-05
manufacturer_volkswagen,1.3840044301521859e-05
manufacturer_type_ford_coupe,6.165745225356067e-07
paint_color_black,0.00014924739592688408
manufacturer_type_mazda_sedan,2.1544708072029906e-06
manufacturer_honda,4.577435842119393e-05
is_excellent,0.0005893749512880641
state_nm,0.00015088920795341965
manufacturer_type_kia_sedan,2.5209272287440854e-06
type_size_truck_4,5.840216503875256e-05
state_ia,2.0360456477255817e-05
type_convertible,4.993809339284838e-05
region_tucson,1.1832131028878534e-06
condition_excellent,0.00034533468554375554
transmission_automatic,2.1121588749212607e-05
is_silver,0.000147724158102637
fuel_gas,0.00018397758272470347
odometerpercar-age,0.002085779688512644
condition_like new,2.3835632862706513e-05
type_size_pickup_3,2.353815012123839e-06
state_tx,1.628739127568224e-06
manufacturer_audi,3.019742022505878e-05
title_status_salvage,9.178887031779936e-06
odometerpermanufacturer,0.0018146192148743381
manufacturer_type_toyota_sedan,1.8382923871795853e-05
state_mn,7.65923791060108e-06
region_richmond,6.609312797653533e-06
manufacturer_type_ford_van,5.816428701649334e-06
manufacturer_type_ram_truck,0.00010412547530581906
region_north jersey,4.449225249114619e-06
manufacturer_toyota,2.2268580372540592e-05
state_nv,1.0003586624396377e-05
type_truck,0.0001169480371930341
manufacturer_type_ford_truck,5.342455669299362e-06
truck_diesel,4.907508708296149e-05
region_pittsburgh,1.7807326987417937e-06
odometerpertype,0.0036310780496021625
region_new york city,9.382374409061534e-07
