,importance
type_size_sedan_3,0.0
manufacturer_type_buick_sedan,0.0
yearperfuel,2.8192243699542985e-06
type_size_coupe_3,0.0
state_tx,0.0
manufacturer_type_ford_truck,1.9137100082389225e-07
manufacturer_type_ford_van,0.0
manufacturer_type_chevrolet_coupe,0.0
type_mini-van,0.0
condition_fair,5.989781030280028e-06
type_truck,1.3308920063792584e-06
type_size_pickup_4,9.232819841997753e-08
manufacturer_honda,0.0
manufacturer_jeep,3.885800037295439e-08
type_size_coupe_2,0.0
yearpertype,6.1390619183754325e-06
odometerpermanufacturer,4.541472114372169e-06
"region_washington, dc",0.0
type_size_truck_4,6.154216984910477e-07
manufacturer_subaru,0.0
manufacturer_dodge,0.0
manufacturer_type_volkswagen_sedan,0.0
manufacturer_type_hyundai_sedan,0.0
condition_salvage,0.0
type_hatchback,0.0
type_size_sedan_2,0.0
type_convertible,0.0
state_va,0.0
odometerperdrive,9.762607022345549e-06
region_tucson,0.0
manufacturer_mercury,0.0
state_pa,6.332749791226888e-08
region_richmond,0.0
manufacturer_type_nissan_sedan,0.0
type_pickup,5.85512897721685e-07
manufacturer_type_buick_SUV,0.0
region_albany,0.0
type_van,0.0
manufacturer_type_mazda_sedan,0.0
type_sedan,9.095015016669095e-07
fuel_gas,9.295634013639642e-07
odometerpertransmission,8.174148462547492e-06
manufacturer_type_ford_sedan,9.869490114056134e-08
yearperdrive,1.120880446237038e-06
manufacturer_volkswagen,0.0
manufacturer_ford,4.0174499638112593e-07
cylinders,1.816696999057399e-06
type_size_SUV_4,1.107626106389148e-07
state_fl,4.902179995269762e-08
manufacturer_audi,0.0
type_size_pickup_3,0.0
manufacturer_hyundai,0.0
region_new york city,0.0
is_sedan,4.211496955619509e-07
is_rebuilt,2.9511699750628395e-08
paint_color_black,6.467157671607993e-07
condition_score,1.6047380023032076e-05
type_size_hatchback_3,0.0
manufacturer_type_ford_coupe,0.0
is_fwd,1.1279287024379414e-06
yearpertransmission,3.855317404433123e-06
year,2.705954282866685e-06
manufacturer_type_ram_truck,1.5736990022219288e-07
manufacturer_type_bmw_SUV,0.0
manufacturer_type_ford_pickup,2.9958400205032376e-08
region_boise,0.0
state_wa,0.0
region_norfolk / hampton roads,0.0
condition_excellent,1.2082438534122275e-06
manufacturer_ram,1.1059302940097382e-06
manufacturer_type_toyota_sedan,0.0
transmission_other,0.0
manufacturer_type_chevrolet_pickup,0.0
manufacturer_type_honda_sedan,0.0
state_oh,0.0
is_silver,2.857849956683367e-08
state_ga,0.0
paint_color_white,3.473578020773971e-07
title_status_score,8.036230170205272e-08
drive_4wd,1.4161082759756027e-06
manufacturer_type_kia_sedan,0.0
manufacturer_toyota,0.0
type_size_truck_3,0.0
region_north jersey,0.0
state_mn,0.0
state_ia,0.0
type_size_coupe_4,0.0
state_wi,0.0
paint_color_grey,0.0
title_status_rebuilt,1.723189946289949e-08
odometer-inverse,2.5247895916180596e-06
manufacturer_nissan,0.0
transmission_manual,7.77678987873287e-08
yearpermanufacturer,4.708835482869489e-06
region_los angeles,0.0
odometer,4.140582487544009e-06
state_ok,0.0
state_tn,0.0
region_las vegas,0.0
condition_like new,7.485301511955811e-07
odometerperfuel,7.832745901659166e-06
transmission_automatic,3.855227985738452e-07
odometerpertype,3.441702685069714e-06
log-odmeter,2.1640382468213204e-06
manufacturer_type_chevrolet_SUV,3.0187798927272524e-08
is_excellent,9.269939988953979e-07
manufacturer_type_subaru_SUV,0.0
fuel_diesel,1.7630207160834743e-06
state_nm,0.0
type_SUV,3.418033909241558e-07
type_size_hatchback_2,0.0
paint_color_silver,2.419839972844784e-08
state_il,0.0
paint_color_red,0.0
region_rochester,0.0
is_gas,6.957120026740427e-07
state_az,0.0
state_or,0.0
manufacturer_type_ford_SUV,3.811019944066629e-08
state_nv,0.0
manufacturer_bmw,1.3823820044223112e-07
paint_color_brown,0.0
state_ny,1.6119900081434935e-08
manufacturer_mazda,0.0
paint_color_blue,5.437319927636963e-08
manufacturer_type_chevrolet_sedan,0.0
paint_color_green,0.0
condition_good,2.976205758287165e-06
manufacturer_type_audi_sedan,0.0
manufacturer_type_bmw_sedan,0.0
manufacturer_type_honda_SUV,0.0
type_coupe,4.7568910055417746e-07
type_size_SUV_3,0.0
manufacturer_kia,0.0
truck_diesel,3.0009560259003365e-07
odometerpercar-age,6.177782197802628e-06
title_status_salvage,0.0
drive_fwd,4.3561649398782265e-07
type_size_van_4,0.0
car-age-inverse,1.1973313158719634e-06
state_nj,0.0
region_pittsburgh,0.0
state_ca,0.0
type_size_sedan_4,3.187919972447162e-08
manufacturer_chevrolet,9.957629831802706e-08
drive_rwd,1.8838729598513737e-07
is_automatic,1.0894360080726528e-07
type_size_mini-van_4,0.0
