,importance
type_size_sedan_3,1.2481160283073223e-07
manufacturer_type_buick_sedan,0.0
yearperfuel,2.580444002031612e-06
type_size_coupe_3,4.4479399718966306e-08
state_tx,0.0
manufacturer_type_ford_truck,1.0913960224456787e-07
manufacturer_type_ford_van,0.0
manufacturer_type_chevrolet_coupe,0.0
type_mini-van,0.0
condition_fair,1.2283349931863086e-05
type_truck,1.1036334968128614e-06
type_size_pickup_4,6.509189987013997e-08
manufacturer_honda,0.0
manufacturer_jeep,0.0
type_size_coupe_2,0.0
yearpertype,8.544363171547609e-06
odometerpermanufacturer,4.560112647933323e-06
"region_washington, dc",0.0
type_size_truck_4,5.0607924206858e-07
manufacturer_subaru,0.0
manufacturer_dodge,0.0
manufacturer_type_volkswagen_sedan,0.0
manufacturer_type_hyundai_sedan,0.0
condition_salvage,0.0
type_hatchback,0.0
type_size_sedan_2,8.27024521754538e-07
type_convertible,0.0
state_va,0.0
odometerperdrive,3.310180860499612e-06
region_tucson,0.0
manufacturer_mercury,0.0
state_pa,0.0
region_richmond,0.0
manufacturer_type_nissan_sedan,0.0
type_pickup,3.0398305739254283e-07
manufacturer_type_buick_SUV,0.0
region_albany,0.0
type_van,0.0
manufacturer_type_mazda_sedan,0.0
type_sedan,1.5474238850288202e-06
fuel_gas,9.141897578945901e-07
odometerpertransmission,4.903588119831159e-06
manufacturer_type_ford_sedan,0.0
yearperdrive,4.460201967426691e-06
manufacturer_volkswagen,0.0
manufacturer_ford,2.5478604115392045e-07
cylinders,2.2035734416059327e-06
type_size_SUV_4,3.3606699645361005e-08
state_fl,0.0
manufacturer_audi,0.0
type_size_pickup_3,0.0
manufacturer_hyundai,0.0
region_new york city,0.0
is_sedan,4.0362530384641104e-07
is_rebuilt,4.414210152958731e-08
paint_color_black,5.161313825219338e-07
condition_score,1.416666589548754e-05
type_size_hatchback_3,0.0
manufacturer_type_ford_coupe,0.0
is_fwd,3.142522186472263e-06
yearpertransmission,2.714537476966594e-06
year,2.5603373883242853e-06
manufacturer_type_ram_truck,2.7924599521611526e-08
manufacturer_type_bmw_SUV,0.0
manufacturer_type_ford_pickup,0.0
region_boise,0.0
state_wa,0.0
region_norfolk / hampton roads,0.0
condition_excellent,2.2938805488426084e-06
manufacturer_ram,1.001754862173243e-06
manufacturer_type_toyota_sedan,0.0
transmission_other,0.0
manufacturer_type_chevrolet_pickup,0.0
manufacturer_type_honda_sedan,0.0
state_oh,0.0
is_silver,2.2304209323920077e-07
state_ga,0.0
paint_color_white,1.500140900390079e-06
title_status_score,8.365521075859306e-08
drive_4wd,6.435891955369755e-06
manufacturer_type_kia_sedan,0.0
manufacturer_toyota,0.0
type_size_truck_3,0.0
region_north jersey,0.0
state_mn,0.0
state_ia,0.0
type_size_coupe_4,2.3293800666124298e-08
state_wi,0.0
paint_color_grey,0.0
title_status_rebuilt,5.7165898681432736e-08
odometer-inverse,3.3157356400526083e-06
manufacturer_nissan,0.0
transmission_manual,1.4805110026827606e-06
yearpermanufacturer,8.969720365459288e-06
region_los angeles,0.0
odometer,3.3407144267028066e-06
state_ok,0.0
state_tn,0.0
region_las vegas,0.0
condition_like new,4.292046149600992e-07
odometerperfuel,4.269256548672384e-06
transmission_automatic,4.238544004664391e-07
odometerpertype,5.873066468597976e-06
log-odmeter,1.447244922569979e-06
manufacturer_type_chevrolet_SUV,0.0
is_excellent,1.1589962973790335e-06
manufacturer_type_subaru_SUV,0.0
fuel_diesel,1.3609055842245255e-06
state_nm,0.0
type_SUV,5.010890271606172e-07
type_size_hatchback_2,0.0
paint_color_silver,2.8791300010766463e-08
state_il,0.0
paint_color_red,0.0
region_rochester,0.0
is_gas,7.417614729110511e-07
state_az,0.0
state_or,0.0
manufacturer_type_ford_SUV,0.0
state_nv,0.0
manufacturer_bmw,1.829154996357829e-07
paint_color_brown,0.0
state_ny,5.549349957334471e-08
manufacturer_mazda,0.0
paint_color_blue,1.293632303500658e-07
manufacturer_type_chevrolet_sedan,0.0
paint_color_green,7.167920301753838e-08
condition_good,1.8573549205314066e-06
manufacturer_type_audi_sedan,0.0
manufacturer_type_bmw_sedan,0.0
manufacturer_type_honda_SUV,0.0
type_coupe,1.7062613917318004e-06
type_size_SUV_3,1.8333710016804616e-07
manufacturer_kia,0.0
truck_diesel,2.5686679983039085e-07
odometerpercar-age,5.3848193624916885e-06
title_status_salvage,0.0
drive_fwd,2.5040347679805564e-06
type_size_van_4,0.0
car-age-inverse,1.0938430567986046e-06
state_nj,0.0
region_pittsburgh,0.0
state_ca,0.0
type_size_sedan_4,1.0079399714868487e-07
manufacturer_chevrolet,6.902369831252031e-08
drive_rwd,1.7103816096764035e-07
is_automatic,2.12189191550749e-07
type_size_mini-van_4,0.0
