,importance
type_size_sedan_3,7.075762349373349e-07
manufacturer_type_buick_sedan,0.0
yearperfuel,6.251412729252337e-06
type_size_coupe_3,2.680451913761317e-07
state_tx,2.8257758799554722e-08
manufacturer_type_ford_truck,8.294890063709204e-08
manufacturer_type_ford_van,2.5426100336289892e-08
manufacturer_type_chevrolet_coupe,0.0
type_mini-van,0.0
condition_fair,5.546556455016116e-06
type_truck,1.5017855579113615e-06
type_size_pickup_4,1.3450296609818224e-07
manufacturer_honda,5.283476944839549e-07
manufacturer_jeep,9.51947276561782e-08
type_size_coupe_2,5.9062099211359964e-08
yearpertype,1.4578863622954734e-05
odometerpermanufacturer,1.6526763458497157e-05
"region_washington, dc",0.0
type_size_truck_4,6.219507528992807e-07
manufacturer_subaru,0.0
manufacturer_dodge,0.0
manufacturer_type_volkswagen_sedan,6.819574025485053e-07
manufacturer_type_hyundai_sedan,0.0
condition_salvage,0.0
type_hatchback,9.24041895444816e-07
type_size_sedan_2,2.0839759891089216e-06
type_convertible,0.0
state_va,9.322319804994095e-08
odometerperdrive,1.156096051371791e-05
region_tucson,3.092380040925491e-08
manufacturer_mercury,0.0
state_pa,7.087520259574376e-08
region_richmond,0.0
manufacturer_type_nissan_sedan,0.0
type_pickup,3.682742046873244e-07
manufacturer_type_buick_SUV,0.0
region_albany,0.0
type_van,0.0
manufacturer_type_mazda_sedan,0.0
type_sedan,2.2305209852468977e-06
fuel_gas,1.0211765854029053e-06
odometerpertransmission,9.818965248099745e-06
manufacturer_type_ford_sedan,2.0841952297345756e-07
yearperdrive,4.9269463461565355e-06
manufacturer_volkswagen,8.149799057832752e-07
manufacturer_ford,1.5517162459399714e-06
cylinders,3.990783582485946e-06
type_size_SUV_4,7.82098094620487e-07
state_fl,7.572760925000921e-07
manufacturer_audi,0.0
type_size_pickup_3,0.0
manufacturer_hyundai,0.0
region_new york city,0.0
is_sedan,7.467456734078226e-07
is_rebuilt,1.0489745216890611e-06
paint_color_black,2.656624840946531e-06
condition_score,1.0061445606002195e-05
type_size_hatchback_3,0.0
manufacturer_type_ford_coupe,1.978948986902651e-07
is_fwd,5.885022422269515e-06
yearpertransmission,6.463016450209205e-06
year,4.549690418853558e-06
manufacturer_type_ram_truck,6.804258823045473e-08
manufacturer_type_bmw_SUV,9.22156022653553e-08
manufacturer_type_ford_pickup,7.333149998345334e-08
region_boise,0.0
state_wa,0.0
region_norfolk / hampton roads,0.0
condition_excellent,1.1819906189786122e-06
manufacturer_ram,7.762348385731421e-07
manufacturer_type_toyota_sedan,0.0
transmission_other,2.4877499171793716e-08
manufacturer_type_chevrolet_pickup,0.0
manufacturer_type_honda_sedan,3.2941770200523024e-07
state_oh,0.0
is_silver,5.49974445540613e-07
state_ga,0.0
paint_color_white,1.0625281667842046e-06
title_status_score,6.090443940287571e-07
drive_4wd,1.9236482735607296e-06
manufacturer_type_kia_sedan,0.0
manufacturer_toyota,3.932192944589019e-07
type_size_truck_3,0.0
region_north jersey,0.0
state_mn,0.0
state_ia,0.0
type_size_coupe_4,2.4224599215472153e-08
state_wi,0.0
paint_color_grey,2.4794500674829578e-08
title_status_rebuilt,4.6190519498168214e-07
odometer-inverse,7.035406440973613e-06
manufacturer_nissan,5.969909722125522e-08
transmission_manual,2.4140501952985005e-07
yearpermanufacturer,1.2701089520013309e-05
region_los angeles,4.5702199358288453e-08
odometer,7.4253473236265966e-06
state_ok,0.0
state_tn,9.811542689419639e-08
region_las vegas,0.0
condition_like new,4.812559293299046e-07
odometerperfuel,1.2503585552700591e-05
transmission_automatic,5.817073391867211e-07
odometerpertype,8.001962844325639e-06
log-odmeter,2.9520940509342175e-06
manufacturer_type_chevrolet_SUV,1.2344919930740161e-07
is_excellent,9.422048318774578e-07
manufacturer_type_subaru_SUV,0.0
fuel_diesel,2.078538161365273e-06
state_nm,0.0
type_SUV,1.4357068883396815e-06
type_size_hatchback_2,0.0
paint_color_silver,2.5711019624452547e-07
state_il,4.7689699300690336e-08
paint_color_red,1.475123019289981e-07
region_rochester,2.8980499777730984e-08
is_gas,7.421258594320079e-07
state_az,2.2698300128354276e-08
state_or,0.0
manufacturer_type_ford_SUV,2.0366938935367784e-07
state_nv,0.0
manufacturer_bmw,1.0197068460726655e-06
paint_color_brown,0.0
state_ny,2.6588699153506923e-07
manufacturer_mazda,0.0
paint_color_blue,5.864085421691811e-07
manufacturer_type_chevrolet_sedan,6.877880309730244e-08
paint_color_green,5.116335017874007e-07
condition_good,8.265712327926167e-07
manufacturer_type_audi_sedan,0.0
manufacturer_type_bmw_sedan,2.7187319595611825e-07
manufacturer_type_honda_SUV,0.0
type_coupe,6.853930214489878e-07
type_size_SUV_3,3.400679515763727e-07
manufacturer_kia,0.0
truck_diesel,2.4701682965755367e-07
odometerpercar-age,1.9745386999753256e-05
title_status_salvage,2.8009999653022533e-08
drive_fwd,2.6343398653594363e-06
type_size_van_4,0.0
car-age-inverse,1.5487533557845268e-06
state_nj,6.906460114919355e-08
region_pittsburgh,0.0
state_ca,2.749757426201427e-07
type_size_sedan_4,2.004814021461243e-07
manufacturer_chevrolet,5.704891377078525e-07
drive_rwd,3.880241278286789e-07
is_automatic,1.7904840188265325e-07
type_size_mini-van_4,0.0
