,importance
type_size_sedan_3,6.17797824453703e-07
manufacturer_type_buick_sedan,0.0
yearperfuel,7.963252642156915e-06
type_size_coupe_3,4.730336229386012e-07
state_tx,7.22989389245754e-07
manufacturer_type_ford_truck,1.3847466928673668e-07
manufacturer_type_ford_van,0.0
manufacturer_type_chevrolet_coupe,1.611218038988227e-07
type_mini-van,0.0
condition_fair,2.585452897108098e-06
type_truck,1.9439200392989964e-06
type_size_pickup_4,1.9365557069050965e-07
manufacturer_honda,4.425386972428669e-07
manufacturer_jeep,1.0071409817236088e-08
type_size_coupe_2,2.3474750321383908e-07
yearpertype,2.0904982870986397e-05
odometerpermanufacturer,2.255555835878418e-05
"region_washington, dc",0.0
type_size_truck_4,7.589376760375188e-07
manufacturer_subaru,0.0
manufacturer_dodge,2.778389003310622e-07
manufacturer_type_volkswagen_sedan,1.0325259935939357e-07
manufacturer_type_hyundai_sedan,0.0
condition_salvage,1.3291640144075245e-07
type_hatchback,1.4819444906777335e-06
type_size_sedan_2,2.4219192926722144e-06
type_convertible,6.073079816815152e-09
state_va,7.299668007831883e-07
odometerperdrive,1.7333743061842544e-05
region_tucson,0.0
manufacturer_mercury,0.0
state_pa,2.802769980547737e-07
region_richmond,1.1901570040606657e-07
manufacturer_type_nissan_sedan,8.620929747849004e-08
type_pickup,3.32671857616873e-07
manufacturer_type_buick_SUV,0.0
region_albany,0.0
type_van,1.195374870199828e-07
manufacturer_type_mazda_sedan,0.0
type_sedan,7.743179307073689e-06
fuel_gas,9.497127938795646e-07
odometerpertransmission,1.5273015669364787e-05
manufacturer_type_ford_sedan,1.0164371930798666e-06
yearperdrive,9.165175059694386e-06
manufacturer_volkswagen,1.198436994087615e-07
manufacturer_ford,1.0368664641324798e-06
cylinders,4.359076231044701e-06
type_size_SUV_4,3.1399011879429395e-07
state_fl,2.5737024600402947e-07
manufacturer_audi,0.0
type_size_pickup_3,0.0
manufacturer_hyundai,0.0
region_new york city,0.0
is_sedan,3.541693152975256e-06
is_rebuilt,1.0426140857333621e-06
paint_color_black,2.716025334414951e-06
condition_score,1.1888251944314199e-05
type_size_hatchback_3,0.0
manufacturer_type_ford_coupe,3.56409992186002e-07
is_fwd,5.6745337756458625e-06
yearpertransmission,1.070984737303049e-05
year,7.516130541951327e-06
manufacturer_type_ram_truck,1.2801451654276264e-07
manufacturer_type_bmw_SUV,1.7295584786580775e-07
manufacturer_type_ford_pickup,4.509464046620337e-08
region_boise,0.0
state_wa,9.01617003279398e-09
region_norfolk / hampton roads,0.0
condition_excellent,3.494055929698092e-06
manufacturer_ram,8.062234727601592e-07
manufacturer_type_toyota_sedan,0.0
transmission_other,3.134839943186307e-08
manufacturer_type_chevrolet_pickup,5.583640216855201e-09
manufacturer_type_honda_sedan,0.0
state_oh,1.1860699977717104e-08
is_silver,9.76135281494095e-07
state_ga,0.0
paint_color_white,9.552743591711987e-07
title_status_score,1.2479590248415384e-06
drive_4wd,4.53414431822452e-06
manufacturer_type_kia_sedan,0.0
manufacturer_toyota,1.3679829802271115e-07
type_size_truck_3,0.0
region_north jersey,0.0
state_mn,3.375659041182644e-08
state_ia,0.0
type_size_coupe_4,5.744158966258794e-07
state_wi,0.0
paint_color_grey,1.2449009823001234e-07
title_status_rebuilt,7.923853062585806e-07
odometer-inverse,1.1116047093875925e-05
manufacturer_nissan,1.3150700084452183e-07
transmission_manual,7.543085662753413e-07
yearpermanufacturer,1.9640515140292858e-05
region_los angeles,8.83389983385996e-09
odometer,9.690042985874975e-06
state_ok,0.0
state_tn,0.0
region_las vegas,2.2434680424510134e-07
condition_like new,1.0416892653498933e-06
odometerperfuel,2.0536027962564374e-05
transmission_automatic,9.958173556867678e-07
odometerpertype,1.0472011969020478e-05
log-odmeter,2.926543717626795e-06
manufacturer_type_chevrolet_SUV,6.521380990776038e-08
is_excellent,2.4115256758161507e-06
manufacturer_type_subaru_SUV,0.0
fuel_diesel,1.0650686659285924e-06
state_nm,0.0
type_SUV,7.625069740058166e-07
type_size_hatchback_2,3.735209986643895e-06
paint_color_silver,5.361319559415989e-07
state_il,0.0
paint_color_red,2.0969829428452158e-08
region_rochester,8.567609732779147e-09
is_gas,4.0732518047370547e-07
state_az,0.0
state_or,0.0
manufacturer_type_ford_SUV,5.171710171225641e-08
state_nv,1.9957562091832415e-07
manufacturer_bmw,7.865243449312054e-07
paint_color_brown,0.0
state_ny,2.2742175875833937e-07
manufacturer_mazda,0.0
paint_color_blue,8.106550963837833e-07
manufacturer_type_chevrolet_sedan,4.0476359863816924e-07
paint_color_green,7.505118011508216e-07
condition_good,2.7268318971707117e-06
manufacturer_type_audi_sedan,0.0
manufacturer_type_bmw_sedan,1.777925007218073e-07
manufacturer_type_honda_SUV,5.14611002699894e-08
type_coupe,2.0206851942816684e-06
type_size_SUV_3,4.2404694822195665e-07
manufacturer_kia,0.0
truck_diesel,7.315549965802859e-08
odometerpercar-age,2.3659462270415182e-05
title_status_salvage,2.992530028222973e-07
drive_fwd,3.174368167990771e-06
type_size_van_4,9.67500035642388e-09
car-age-inverse,2.0673352487676766e-06
state_nj,1.6768785027210242e-07
region_pittsburgh,0.0
state_ca,3.3012876743399033e-07
type_size_sedan_4,9.278612302932032e-07
manufacturer_chevrolet,6.561471885824233e-07
drive_rwd,5.446271311715378e-07
is_automatic,6.620572645665845e-07
type_size_mini-van_4,0.0
