,importance
odometer,4.41189643796136e-06
truck_diesel,5.44525822654407e-07
manufacturer_ford,2.3367160872922454e-07
year,5.738158157075901e-06
manufacturer_chevrolet,3.640554018247144e-07
type_size_SUV_4,1.2746624111770188e-07
type_pickup,3.1907879805004313e-07
type_size_sedan_3,8.454529876189554e-08
state_il,0.0
"region_washington, dc",0.0
manufacturer_type_chevrolet_pickup,0.0
region_las vegas,0.0
state_ok,0.0
manufacturer_type_hyundai_sedan,0.0
type_size_SUV_3,2.0270401002164817e-07
manufacturer_type_nissan_sedan,0.0
odometerpertype,8.761999577888702e-06
odometerpercar-age,1.2755009636933323e-05
condition_salvage,0.0
region_boise,0.0
odometerperdrive,9.602247875495351e-06
state_tn,0.0
type_size_van_4,0.0
title_status_score,5.297594358744107e-07
type_size_sedan_2,1.7051800327294586e-07
state_mn,1.1784535969283638e-07
region_tucson,0.0
state_ga,0.0
yearperdrive,4.780264165393788e-06
state_wi,0.0
manufacturer_type_ford_coupe,0.0
condition_good,1.2565153681975971e-06
yearpermanufacturer,1.0501568371790171e-05
state_ny,8.90024995925387e-08
state_fl,1.1631949892176863e-07
manufacturer_type_bmw_sedan,1.0196930055883513e-07
manufacturer_type_ford_pickup,0.0
state_or,1.680909988976964e-08
region_richmond,6.622669879163823e-08
drive_rwd,2.0461059868637221e-07
paint_color_red,7.321979431651471e-07
type_size_mini-van_4,0.0
transmission_automatic,1.375494287358947e-07
manufacturer_bmw,9.675323120461599e-08
transmission_manual,4.1619677570992053e-07
manufacturer_type_volkswagen_sedan,0.0
manufacturer_jeep,0.0
is_sedan,1.5058554674318714e-06
state_ca,2.3212419630880277e-07
manufacturer_type_ram_truck,2.3623064659972215e-07
title_status_salvage,7.829400239245388e-09
region_norfolk / hampton roads,0.0
condition_fair,1.58880830980479e-06
manufacturer_type_ford_sedan,0.0
cylinders,1.7241722010119531e-06
type_mini-van,0.0
manufacturer_audi,0.0
manufacturer_honda,2.288666962613206e-07
fuel_diesel,2.105254978346238e-06
type_SUV,7.890464814863662e-08
paint_color_silver,7.124779877187848e-09
manufacturer_mercury,0.0
manufacturer_toyota,0.0
state_nj,7.4487710399751e-07
manufacturer_dodge,0.0
manufacturer_type_audi_sedan,0.0
type_size_sedan_4,6.299160038025775e-08
manufacturer_type_ford_truck,1.2067999932696694e-08
is_fwd,9.062870836018533e-07
title_status_rebuilt,4.8985798528633495e-08
region_rochester,8.44202041605513e-09
manufacturer_ram,1.1362045251317454e-06
odometerperfuel,8.09093854359233e-06
state_nm,0.0
manufacturer_type_mazda_sedan,0.0
manufacturer_type_chevrolet_coupe,0.0
state_wa,2.983409999046671e-07
region_north jersey,0.0
yearpertransmission,6.537594379629752e-06
drive_4wd,3.996386368498861e-07
yearpertype,9.554923713572805e-06
manufacturer_type_buick_sedan,0.0
paint_color_white,1.1512237048094676e-06
type_size_pickup_3,0.0
odometerpermanufacturer,1.1222744962680054e-05
state_ia,0.0
type_size_truck_4,5.201802100174291e-07
odometerpertransmission,8.828683621509015e-06
state_pa,6.861687040782272e-08
odometer-inverse,1.6945807508328414e-06
region_los angeles,0.0
manufacturer_mazda,0.0
manufacturer_kia,0.0
type_sedan,3.7768369764989984e-07
paint_color_grey,3.4432101614356725e-08
drive_fwd,6.782344055267231e-07
type_size_coupe_4,5.586260076739791e-08
paint_color_green,8.720228419356602e-07
is_gas,8.046839576891784e-07
is_automatic,1.0836390096358173e-07
manufacturer_hyundai,0.0
is_rebuilt,6.587840051253124e-09
state_tx,0.0
state_va,1.8771250154259178e-07
manufacturer_type_chevrolet_sedan,0.0
manufacturer_type_buick_SUV,0.0
manufacturer_type_ford_van,0.0
manufacturer_type_subaru_SUV,0.0
manufacturer_type_bmw_SUV,0.0
is_excellent,1.4821369624939962e-06
manufacturer_type_kia_sedan,0.0
state_az,0.0
manufacturer_type_ford_SUV,3.308758103059972e-07
manufacturer_type_toyota_sedan,0.0
condition_excellent,5.143639496552055e-07
type_size_hatchback_2,0.0
is_silver,1.865370080622597e-08
yearperfuel,1.0865077795241262e-05
transmission_other,0.0
type_size_hatchback_3,0.0
region_new york city,0.0
region_pittsburgh,0.0
manufacturer_subaru,0.0
type_van,0.0
type_truck,1.1742188719132685e-06
paint_color_blue,1.1338850214315244e-07
manufacturer_type_honda_sedan,0.0
manufacturer_volkswagen,0.0
manufacturer_type_chevrolet_SUV,9.140769918758451e-09
condition_score,7.663675057223429e-06
type_convertible,2.45363995787784e-08
paint_color_black,5.492387797900733e-07
state_oh,2.1416689577336e-07
type_size_coupe_2,0.0
region_albany,0.0
log-odmeter,4.843539285204201e-07
type_size_coupe_3,7.973011975082045e-07
car-age-inverse,2.854192260315358e-07
paint_color_brown,0.0
type_hatchback,0.0
type_coupe,1.1298903235257285e-06
type_size_truck_3,0.0
state_nv,0.0
type_size_pickup_4,5.1325729444329227e-08
fuel_gas,6.418755074122373e-07
manufacturer_nissan,0.0
manufacturer_type_honda_SUV,0.0
condition_like new,3.718128329666115e-07
