,importance
odometer,6.655010783174209e-06
truck_diesel,7.150588976490013e-08
manufacturer_ford,9.35071188923331e-07
year,3.468559171826424e-06
manufacturer_chevrolet,6.468027289319167e-07
type_size_SUV_4,1.8343060981251824e-07
type_pickup,1.501415991533861e-07
type_size_sedan_3,3.5974753043177543e-07
state_il,0.0
"region_washington, dc",0.0
manufacturer_type_chevrolet_pickup,0.0
region_las vegas,9.752007290586562e-08
state_ok,0.0
manufacturer_type_hyundai_sedan,0.0
type_size_SUV_3,1.9968570907913374e-07
manufacturer_type_nissan_sedan,0.0
odometerpertype,8.943699257274451e-06
odometerpercar-age,1.0502015870446357e-05
condition_salvage,0.0
region_boise,0.0
odometerperdrive,6.848296781852836e-06
state_tn,0.0
type_size_van_4,0.0
title_status_score,8.638167283692155e-07
type_size_sedan_2,6.699173997759544e-07
state_mn,1.675225274055947e-07
region_tucson,0.0
state_ga,0.0
yearperdrive,6.050728389661586e-06
state_wi,5.681196935114485e-08
manufacturer_type_ford_coupe,1.819661008539697e-07
condition_good,8.967890681166324e-07
yearpermanufacturer,1.3770768056947658e-05
state_ny,3.1819627066553835e-07
state_fl,1.1546297962183871e-07
manufacturer_type_bmw_sedan,1.8705580195899074e-07
manufacturer_type_ford_pickup,2.334803017589593e-08
state_or,8.967150044725258e-08
region_richmond,0.0
drive_rwd,4.250329350696802e-07
paint_color_red,1.9581399612889072e-08
type_size_mini-van_4,0.0
transmission_automatic,7.140950111228506e-07
manufacturer_bmw,2.7248346157193737e-07
transmission_manual,6.271432551052669e-07
manufacturer_type_volkswagen_sedan,2.4038250323599186e-07
manufacturer_jeep,7.363599952014965e-09
is_sedan,4.1263772567745605e-06
state_ca,1.745348727766327e-07
manufacturer_type_ram_truck,7.255522971316708e-08
title_status_salvage,3.7119900042625886e-08
region_norfolk / hampton roads,0.0
condition_fair,5.554219981718234e-07
manufacturer_type_ford_sedan,5.966389959866092e-07
cylinders,3.3373387410273736e-06
type_mini-van,0.0
manufacturer_audi,0.0
manufacturer_honda,1.2911529800874177e-07
fuel_diesel,1.7538014717155548e-06
type_SUV,1.9763854020027338e-07
paint_color_silver,5.614894935668246e-07
manufacturer_mercury,0.0
manufacturer_toyota,1.583745010691473e-07
state_nj,9.077630025444705e-08
manufacturer_dodge,1.3614940286288402e-07
manufacturer_type_audi_sedan,0.0
type_size_sedan_4,1.2740139965217168e-07
manufacturer_type_ford_truck,1.4502985989928163e-07
is_fwd,8.592062102241727e-06
title_status_rebuilt,2.0166724845616102e-07
region_rochester,6.131669927356143e-08
manufacturer_ram,3.546490437988936e-07
odometerperfuel,9.43948309793663e-06
state_nm,0.0
manufacturer_type_mazda_sedan,0.0
manufacturer_type_chevrolet_coupe,1.683810069152969e-08
state_wa,0.0
region_north jersey,0.0
yearpertransmission,7.686790575056612e-06
drive_4wd,3.3089786222184614e-07
yearpertype,1.632205085272398e-05
manufacturer_type_buick_sedan,0.0
paint_color_white,7.617512092217282e-07
type_size_pickup_3,6.325480050861643e-08
odometerpermanufacturer,8.850370455656953e-06
state_ia,0.0
type_size_truck_4,1.9611393470286842e-07
odometerpertransmission,6.0994460689411945e-06
state_pa,3.570905029448568e-07
odometer-inverse,2.0582894584564304e-06
region_los angeles,0.0
manufacturer_mazda,0.0
manufacturer_kia,0.0
type_sedan,1.977049821633159e-06
paint_color_grey,1.0720320009482975e-07
drive_fwd,1.4485308650336037e-06
type_size_coupe_4,2.1337133837562305e-07
paint_color_green,1.979767698223611e-06
is_gas,3.4916255020611686e-07
is_automatic,1.0504430880686755e-07
manufacturer_hyundai,0.0
is_rebuilt,3.965649852943898e-08
state_tx,2.0522402177647336e-07
state_va,9.047539961670736e-08
manufacturer_type_chevrolet_sedan,0.0
manufacturer_type_buick_SUV,0.0
manufacturer_type_ford_van,1.0529300098482963e-08
manufacturer_type_subaru_SUV,0.0
manufacturer_type_bmw_SUV,4.1315099785776965e-08
is_excellent,2.090381403085928e-06
manufacturer_type_kia_sedan,0.0
state_az,7.603959950586159e-08
manufacturer_type_ford_SUV,2.3365299917088578e-08
manufacturer_type_toyota_sedan,0.0
condition_excellent,3.945665130178355e-07
type_size_hatchback_2,0.0
is_silver,8.131836137792448e-08
yearperfuel,5.836472611098209e-06
transmission_other,2.0280699786212608e-08
type_size_hatchback_3,0.0
region_new york city,0.0
region_pittsburgh,0.0
manufacturer_subaru,0.0
type_van,0.0
type_truck,3.9005408636327843e-07
paint_color_blue,4.1212337631435503e-07
manufacturer_type_honda_sedan,2.079329952664466e-08
manufacturer_volkswagen,2.629674042964325e-07
manufacturer_type_chevrolet_SUV,7.299290949447368e-08
condition_score,3.5458590694759096e-06
type_convertible,0.0
paint_color_black,2.0958528743897364e-06
state_oh,0.0
type_size_coupe_2,1.9102974064821865e-06
region_albany,0.0
log-odmeter,3.083123483182959e-07
type_size_coupe_3,4.933292974129699e-07
car-age-inverse,7.020967851545379e-08
paint_color_brown,0.0
type_hatchback,0.0
type_coupe,2.139855406202429e-06
type_size_truck_3,1.7291899467863914e-08
state_nv,3.749349986037487e-08
type_size_pickup_4,9.735090156226534e-08
fuel_gas,1.9538639062233187e-07
manufacturer_nissan,0.0
manufacturer_type_honda_SUV,0.0
condition_like new,1.7135550134383948e-07
