,importance
odometer,7.296859085154095e-07
truck_diesel,2.0766995845189484e-08
manufacturer_ford,3.7185735735079106e-07
year,1.187351022280403e-06
manufacturer_chevrolet,5.36192201749941e-08
type_size_SUV_4,1.1608151906372655e-07
type_pickup,1.302993997143176e-07
type_size_sedan_3,2.0453539750775462e-07
state_il,0.0
"region_washington, dc",0.0
manufacturer_type_chevrolet_pickup,0.0
region_las vegas,0.0
state_ok,0.0
manufacturer_type_hyundai_sedan,0.0
type_size_SUV_3,2.0659280508539268e-08
manufacturer_type_nissan_sedan,0.0
odometerpertype,3.5932450396791715e-06
odometerpercar-age,2.1986711152832683e-06
condition_salvage,0.0
region_boise,0.0
odometerperdrive,1.796753834104603e-06
state_tn,0.0
type_size_van_4,0.0
title_status_score,8.03868413612463e-07
type_size_sedan_2,4.291224769303881e-06
state_mn,0.0
region_tucson,0.0
state_ga,0.0
yearperdrive,2.0609613298749885e-06
state_wi,0.0
manufacturer_type_ford_coupe,0.0
condition_good,5.219502057229874e-07
yearpermanufacturer,8.401581300665484e-06
state_ny,1.0273235062641106e-07
state_fl,0.0
manufacturer_type_bmw_sedan,0.0
manufacturer_type_ford_pickup,0.0
state_or,0.0
region_richmond,0.0
drive_rwd,7.095049037175727e-08
paint_color_red,0.0
type_size_mini-van_4,0.0
transmission_automatic,2.5636977918352954e-07
manufacturer_bmw,1.802760980496032e-07
transmission_manual,0.0
manufacturer_type_volkswagen_sedan,0.0
manufacturer_jeep,0.0
is_sedan,1.992745882972713e-06
state_ca,1.3560200073925444e-08
manufacturer_type_ram_truck,0.0
title_status_salvage,0.0
region_norfolk / hampton roads,0.0
condition_fair,0.0
manufacturer_type_ford_sedan,0.0
cylinders,2.4873902804145587e-06
type_mini-van,0.0
manufacturer_audi,0.0
manufacturer_honda,0.0
fuel_diesel,9.458262191230915e-07
type_SUV,7.122443652640698e-07
paint_color_silver,0.0
manufacturer_mercury,0.0
manufacturer_toyota,0.0
state_nj,0.0
manufacturer_dodge,0.0
manufacturer_type_audi_sedan,0.0
type_size_sedan_4,0.0
manufacturer_type_ford_truck,0.0
is_fwd,6.984170572543746e-06
title_status_rebuilt,6.083640924359202e-08
region_rochester,0.0
manufacturer_ram,2.520788204840585e-07
odometerperfuel,2.8231368590647676e-06
state_nm,0.0
manufacturer_type_mazda_sedan,0.0
manufacturer_type_chevrolet_coupe,0.0
state_wa,0.0
region_north jersey,0.0
yearpertransmission,1.7986472840014756e-06
drive_4wd,2.634502465070909e-07
yearpertype,5.505618157097825e-06
manufacturer_type_buick_sedan,0.0
paint_color_white,2.2699272594906006e-07
type_size_pickup_3,0.0
odometerpermanufacturer,2.384161287255493e-06
state_ia,0.0
type_size_truck_4,2.3722796205216667e-07
odometerpertransmission,9.93854619935064e-07
state_pa,0.0
odometer-inverse,4.865735414583128e-07
region_los angeles,0.0
manufacturer_mazda,0.0
manufacturer_kia,0.0
type_sedan,5.101573918864233e-07
paint_color_grey,0.0
drive_fwd,3.468988685639829e-06
type_size_coupe_4,0.0
paint_color_green,0.0
is_gas,4.799741604166741e-07
is_automatic,4.8626829229903024e-08
manufacturer_hyundai,0.0
is_rebuilt,1.1144099865134649e-08
state_tx,0.0
state_va,0.0
manufacturer_type_chevrolet_sedan,0.0
manufacturer_type_buick_SUV,0.0
manufacturer_type_ford_van,0.0
manufacturer_type_subaru_SUV,0.0
manufacturer_type_bmw_SUV,1.4623849686756785e-07
is_excellent,6.261620195679996e-07
manufacturer_type_kia_sedan,0.0
state_az,0.0
manufacturer_type_ford_SUV,0.0
manufacturer_type_toyota_sedan,0.0
condition_excellent,3.684001130821457e-07
type_size_hatchback_2,0.0
is_silver,2.8991399503297544e-08
yearperfuel,4.865665040654221e-06
transmission_other,0.0
type_size_hatchback_3,0.0
region_new york city,0.0
region_pittsburgh,0.0
manufacturer_subaru,0.0
type_van,0.0
type_truck,4.4058620751741273e-07
paint_color_blue,1.8027393222652677e-07
manufacturer_type_honda_sedan,0.0
manufacturer_volkswagen,0.0
manufacturer_type_chevrolet_SUV,0.0
condition_score,4.016101943449257e-06
type_convertible,0.0
paint_color_black,9.69169604680964e-07
state_oh,0.0
type_size_coupe_2,0.0
region_albany,0.0
log-odmeter,2.254185611505477e-07
type_size_coupe_3,1.8688180070114413e-07
car-age-inverse,1.2823681805329556e-07
paint_color_brown,0.0
type_hatchback,0.0
type_coupe,4.6317139101859084e-07
type_size_truck_3,0.0
state_nv,0.0
type_size_pickup_4,6.783229977713745e-09
fuel_gas,8.365334824844695e-08
manufacturer_nissan,0.0
manufacturer_type_honda_SUV,0.0
condition_like new,1.402315390475195e-07
