,importance
odometer,5.051424928240872e-06
truck_diesel,9.243193667685112e-07
manufacturer_ford,9.388667217002933e-07
year,3.5921164829866292e-06
manufacturer_chevrolet,6.609001840796047e-07
type_size_SUV_4,6.39132164470535e-07
type_pickup,4.270767008929255e-07
type_size_sedan_3,2.2913014108283392e-07
state_il,2.2737399518746315e-08
"region_washington, dc",0.0
manufacturer_type_chevrolet_pickup,2.1674140260330432e-08
region_las vegas,9.447509974336299e-08
state_ok,7.453190065120907e-08
manufacturer_type_hyundai_sedan,0.0
type_size_SUV_3,3.056919823940518e-07
manufacturer_type_nissan_sedan,0.0
odometerpertype,1.1721412351617388e-05
odometerpercar-age,1.2916502200671642e-05
condition_salvage,0.0
region_boise,0.0
odometerperdrive,2.11534370753233e-05
state_tn,1.6032609018168387e-07
type_size_van_4,1.874006994029287e-08
title_status_score,9.077601643703304e-07
type_size_sedan_2,3.406340098877081e-08
state_mn,1.0400399652610304e-08
region_tucson,0.0
state_ga,0.0
yearperdrive,7.0920670793908624e-06
state_wi,6.543380060008985e-09
manufacturer_type_ford_coupe,2.045760005842112e-08
condition_good,1.0574678528385562e-06
yearpermanufacturer,1.1434461383130756e-05
state_ny,3.7955858100957585e-07
state_fl,8.45815408823114e-08
manufacturer_type_bmw_sedan,1.0222399815518202e-08
manufacturer_type_ford_pickup,1.9306854803780027e-07
state_or,1.0194399990837155e-08
region_richmond,3.477660026618423e-08
drive_rwd,6.817691141636217e-07
paint_color_red,4.918199012493574e-07
type_size_mini-van_4,0.0
transmission_automatic,4.949296510403656e-07
manufacturer_bmw,4.6173408896343915e-07
transmission_manual,4.322320847904848e-07
manufacturer_type_volkswagen_sedan,0.0
manufacturer_jeep,1.3639850227065153e-07
is_sedan,1.6666587052682758e-06
state_ca,4.5201641052372565e-07
manufacturer_type_ram_truck,1.3476291166325538e-07
title_status_salvage,1.1479300177086316e-08
region_norfolk / hampton roads,0.0
condition_fair,3.8707706178087165e-06
manufacturer_type_ford_sedan,0.0
cylinders,2.6457885756725474e-06
type_mini-van,0.0
manufacturer_audi,0.0
manufacturer_honda,1.484741023460856e-07
fuel_diesel,1.64961810450448e-06
type_SUV,7.385242432045303e-07
paint_color_silver,2.789126698488076e-07
manufacturer_mercury,0.0
manufacturer_toyota,0.0
state_nj,1.636784172198702e-06
manufacturer_dodge,3.1369740050024575e-07
manufacturer_type_audi_sedan,0.0
type_size_sedan_4,2.447901099600358e-07
manufacturer_type_ford_truck,8.373753812573881e-07
is_fwd,1.874842114446551e-06
title_status_rebuilt,3.8274829750051254e-07
region_rochester,6.144549935527266e-08
manufacturer_ram,1.4680764156005388e-06
odometerperfuel,1.2225131113360876e-05
state_nm,0.0
manufacturer_type_mazda_sedan,0.0
manufacturer_type_chevrolet_coupe,1.692809972198006e-07
state_wa,1.3739030180204281e-07
region_north jersey,0.0
yearpertransmission,7.469267174542438e-06
drive_4wd,1.641562422438625e-06
yearpertype,1.2123969587569255e-05
manufacturer_type_buick_sedan,0.0
paint_color_white,2.4978440273937252e-06
type_size_pickup_3,1.3916799712632155e-08
odometerpermanufacturer,1.0397774736575771e-05
state_ia,1.534989912954643e-08
type_size_truck_4,1.2088784283603715e-06
odometerpertransmission,9.003410354979646e-06
state_pa,3.1547064827108784e-07
odometer-inverse,2.0177702925172625e-06
region_los angeles,6.103210026253691e-08
manufacturer_mazda,0.0
manufacturer_kia,0.0
type_sedan,2.810169004163754e-07
paint_color_grey,0.0
drive_fwd,1.7652790251787565e-07
type_size_coupe_4,1.6050090145824925e-07
paint_color_green,1.0376311028181817e-06
is_gas,1.201212206189406e-06
is_automatic,9.895578889640433e-08
manufacturer_hyundai,0.0
is_rebuilt,1.4058640074310347e-07
state_tx,3.0243000992413727e-08
state_va,1.4125580349855227e-07
manufacturer_type_chevrolet_sedan,0.0
manufacturer_type_buick_SUV,0.0
manufacturer_type_ford_van,9.616980012339127e-08
manufacturer_type_subaru_SUV,0.0
manufacturer_type_bmw_SUV,2.6974099132104357e-07
is_excellent,1.8196785777635505e-06
manufacturer_type_kia_sedan,0.0
state_az,6.860134860176004e-08
manufacturer_type_ford_SUV,3.079146049245196e-08
manufacturer_type_toyota_sedan,0.0
condition_excellent,2.9505367993287734e-07
type_size_hatchback_2,0.0
is_silver,2.924773001566905e-08
yearperfuel,1.2338620962559776e-05
transmission_other,3.372239998356008e-08
type_size_hatchback_3,0.0
region_new york city,0.0
region_pittsburgh,0.0
manufacturer_subaru,0.0
type_van,0.0
type_truck,1.3936105723311165e-06
paint_color_blue,9.598941628219393e-07
manufacturer_type_honda_sedan,0.0
manufacturer_volkswagen,0.0
manufacturer_type_chevrolet_SUV,9.154220137475022e-08
condition_score,6.7206570149580536e-06
type_convertible,1.23251699513105e-07
paint_color_black,2.0764357393371347e-06
state_oh,2.677720001287298e-08
type_size_coupe_2,0.0
region_albany,0.0
log-odmeter,1.8804528023608214e-07
type_size_coupe_3,1.9837583975501616e-07
car-age-inverse,3.325353136185427e-07
paint_color_brown,0.0
type_hatchback,0.0
type_coupe,6.249406845348915e-07
type_size_truck_3,7.62952989674659e-09
state_nv,6.559984022658227e-08
type_size_pickup_4,2.9194635042806283e-07
fuel_gas,6.469306560452637e-07
manufacturer_nissan,0.0
manufacturer_type_honda_SUV,0.0
condition_like new,1.316180893162766e-07
