,importance
odometer,0.0028804320159547814
truck_diesel,6.3127387655015355e-06
manufacturer_ford,3.209793966263419e-05
year,0.0017803187927381003
manufacturer_chevrolet,0.0002788833090487941
type_size_SUV_4,5.984023541927286e-05
type_pickup,3.2568935175447677e-06
type_size_sedan_3,0.00025029457591152493
state_il,6.149088870444075e-05
"region_washington, dc",1.3924737892523353e-05
manufacturer_type_chevrolet_pickup,3.164774738806386e-05
region_las vegas,2.5658193045785538e-06
state_ok,9.491183092791289e-07
manufacturer_type_hyundai_sedan,9.472337456628566e-05
type_size_SUV_3,2.268272498895385e-05
manufacturer_type_nissan_sedan,1.2298685662770481e-05
odometerpertype,0.005098462140798787
odometerpercar-age,0.002936889543121879
condition_salvage,8.655101048304914e-06
region_boise,1.4114598634762388e-05
odometerperdrive,0.0032342284986714986
state_tn,1.2465243031556383e-05
type_size_van_4,5.392981954344123e-07
title_status_score,0.000451465416224206
type_size_sedan_2,0.0003281687777914044
state_mn,8.719152049252443e-07
region_tucson,0.0
state_ga,0.0
yearperdrive,0.00317314448871997
state_wi,5.5072371056397174e-05
manufacturer_type_ford_coupe,1.07681957159933e-05
condition_good,0.0002290808348810458
yearpermanufacturer,0.0039703840304081695
state_ny,5.1092060363799874e-05
state_fl,2.1358011780492347e-05
manufacturer_type_bmw_sedan,3.0713733210063765e-06
manufacturer_type_ford_pickup,4.6632410644065203e-07
state_or,1.824551958407028e-07
region_richmond,7.188830082327513e-07
drive_rwd,1.5772331298791187e-05
paint_color_red,1.6174181546091404e-05
type_size_mini-van_4,6.805681752020121e-05
transmission_automatic,9.953672867624164e-05
manufacturer_bmw,2.3624712817138516e-05
transmission_manual,0.00019612642200073083
manufacturer_type_volkswagen_sedan,1.6843945616074052e-05
manufacturer_jeep,1.1099480637710712e-05
is_sedan,0.00031334982957176294
state_ca,6.532744875187291e-05
manufacturer_type_ram_truck,4.880269108653579e-05
title_status_salvage,4.2609336428967026e-05
region_norfolk / hampton roads,6.158171416359437e-06
condition_fair,0.0029291862084761533
manufacturer_type_ford_sedan,2.080943207971586e-06
cylinders,0.0008200373236117997
type_mini-van,0.0001382845548185685
manufacturer_audi,7.687345102169729e-05
manufacturer_honda,9.799623622086528e-05
fuel_diesel,0.0002790089154540709
type_SUV,0.00034651806123520146
paint_color_silver,0.0004194929621839094
manufacturer_mercury,0.00016116791961096055
manufacturer_toyota,0.00015969417483319148
