,importance
odometer,7.216280968502797e-06
truck_diesel,7.843701099741196e-08
manufacturer_ford,1.0022990328817372e-06
year,1.2991543000162586e-05
manufacturer_chevrolet,4.6333085679250985e-07
type_size_SUV_4,2.61564519821178e-07
type_pickup,4.365463501798672e-07
type_size_sedan_3,3.4791409841972154e-07
state_il,0.0
"region_washington, dc",0.0
manufacturer_type_chevrolet_pickup,4.2467100058729557e-08
region_las vegas,3.714349894323732e-08
state_ok,0.0
manufacturer_type_hyundai_sedan,0.0
type_size_SUV_3,1.9268801221272724e-07
manufacturer_type_nissan_sedan,0.0
odometerpertype,2.0322753391366355e-05
odometerpercar-age,1.7190440810360696e-05
condition_salvage,0.0
region_boise,0.0
odometerperdrive,1.0241462410659485e-05
state_tn,1.3635770201858577e-07
type_size_van_4,0.0
title_status_score,1.1694132382444877e-06
type_size_sedan_2,2.1759125878872965e-06
state_mn,9.044019932957781e-08
region_tucson,0.0
state_ga,0.0
yearperdrive,6.617404858189069e-06
state_wi,0.0
manufacturer_type_ford_coupe,6.909390215525946e-08
condition_good,3.4359328267008493e-06
yearpermanufacturer,1.6021928936691635e-05
state_ny,2.811577006767152e-07
state_fl,2.0100569741998697e-07
manufacturer_type_bmw_sedan,1.788611037056853e-07
manufacturer_type_ford_pickup,1.3429634115880162e-07
state_or,0.0
region_richmond,0.0
drive_rwd,1.0164854969962889e-06
paint_color_red,1.2713219987858793e-07
type_size_mini-van_4,0.0
transmission_automatic,1.012333167516033e-06
manufacturer_bmw,6.767001068386236e-07
transmission_manual,1.6367361119762336e-06
manufacturer_type_volkswagen_sedan,0.0
manufacturer_jeep,2.1401829641831682e-08
is_sedan,1.3255796764699568e-06
state_ca,9.306692927424365e-08
manufacturer_type_ram_truck,5.495630173157906e-09
title_status_salvage,5.01348011994196e-08
region_norfolk / hampton roads,0.0
condition_fair,1.6656647446211537e-05
manufacturer_type_ford_sedan,1.4103330059356267e-07
cylinders,3.081957834272231e-06
type_mini-van,0.0
manufacturer_audi,0.0
manufacturer_honda,7.219390063539777e-08
fuel_diesel,2.2181114208708053e-06
type_SUV,5.685623940543394e-07
paint_color_silver,1.1779825870306126e-07
manufacturer_mercury,0.0
manufacturer_toyota,0.0
state_nj,3.1619110085756574e-07
manufacturer_dodge,7.062210016783865e-08
manufacturer_type_audi_sedan,0.0
type_size_sedan_4,6.943776895695919e-07
manufacturer_type_ford_truck,3.441523999114793e-08
is_fwd,3.884340544324516e-06
title_status_rebuilt,3.0566913400420503e-07
region_rochester,0.0
manufacturer_ram,3.301808148559182e-07
odometerperfuel,1.3569775108399074e-05
state_nm,0.0
manufacturer_type_mazda_sedan,0.0
manufacturer_type_chevrolet_coupe,0.0
state_wa,2.508070018336639e-08
region_north jersey,0.0
yearpertransmission,8.418431520825111e-06
drive_4wd,1.9179176464767522e-06
yearpertype,1.2623776355025207e-05
manufacturer_type_buick_sedan,0.0
paint_color_white,1.2593401212956934e-06
type_size_pickup_3,6.439669952840177e-08
odometerpermanufacturer,1.1289180336791771e-05
state_ia,0.0
type_size_truck_4,6.451316722777545e-07
odometerpertransmission,5.9870337621621694e-06
state_pa,1.7802040375158867e-07
odometer-inverse,3.720532678108679e-06
region_los angeles,0.0
manufacturer_mazda,0.0
manufacturer_kia,0.0
type_sedan,6.843024560332367e-07
paint_color_grey,0.0
drive_fwd,1.4777573671409527e-06
type_size_coupe_4,1.7946170416394125e-07
paint_color_green,1.2646160705287457e-06
is_gas,9.418533453153799e-07
is_automatic,2.507548291230677e-07
manufacturer_hyundai,0.0
is_rebuilt,1.5140856834960914e-07
state_tx,3.0001890927167096e-07
state_va,0.0
manufacturer_type_chevrolet_sedan,2.9459990003033454e-08
manufacturer_type_buick_SUV,0.0
manufacturer_type_ford_van,0.0
manufacturer_type_subaru_SUV,0.0
manufacturer_type_bmw_SUV,7.536479973424548e-08
is_excellent,3.827822825597238e-06
manufacturer_type_kia_sedan,0.0
state_az,0.0
manufacturer_type_ford_SUV,1.127560000924177e-08
manufacturer_type_toyota_sedan,0.0
condition_excellent,2.143890980854657e-06
type_size_hatchback_2,0.0
is_silver,1.2699219098522008e-07
yearperfuel,1.0309707247524447e-05
transmission_other,0.0
type_size_hatchback_3,0.0
region_new york city,0.0
region_pittsburgh,0.0
manufacturer_subaru,0.0
type_van,0.0
type_truck,5.992166294266354e-07
paint_color_blue,7.523273124476759e-07
manufacturer_type_honda_sedan,7.565510173890289e-08
manufacturer_volkswagen,0.0
manufacturer_type_chevrolet_SUV,0.0
condition_score,9.512220345619937e-06
type_convertible,9.571940040586924e-08
paint_color_black,2.31215013735131e-06
state_oh,2.8210399349859472e-08
type_size_coupe_2,8.768075829834743e-07
region_albany,0.0
log-odmeter,1.1784083056021188e-06
type_size_coupe_3,5.679055981033798e-07
car-age-inverse,1.3637753921713625e-06
paint_color_brown,0.0
type_hatchback,1.309335964094771e-07
type_coupe,1.604379795239197e-06
type_size_truck_3,0.0
state_nv,0.0
type_size_pickup_4,8.032731013685179e-08
fuel_gas,2.0410438161810873e-07
manufacturer_nissan,0.0
manufacturer_type_honda_SUV,0.0
condition_like new,1.6971959326816943e-07
